ID_MARK,Марка,Марка кириллица,Популярная марка,Страна,Год марки от,Год марки до,MODEL_ID,Модель,Модель кириллица,Класс,Год модели от,Год модели до
ABARTH,Abarth,Абарт,0,Италия,2008,2025,ABARTH_124_SPIDER,124 Spider,124 спайдер,A,2016,2020
ABARTH,Abarth,Абарт,0,Италия,2008,2025,ABARTH_500,500,500,A,2008,2025
ABARTH,Abarth,Абарт,0,Италия,2008,2025,ABARTH_600E,600e,600е,A,2024,2025
AC,AC,АС,0,Великобритания,1965,2025,AC_378_GT,378 GT Zagato,378 ДжиТи Загато,S,2012,2012
AC,AC,АС,0,Великобритания,1965,2025,AC_ACE,Ace,асе,S,1992,2000
AC,AC,АС,0,Великобритания,1965,2025,AC_ACECA,Aceca,Асека,S,1998,2000
AC,AC,АС,0,Великобритания,1965,2025,AC_COBRA,Cobra,Кобра,S,1965,2015
AC,AC,АС,0,Великобритания,1965,2025,AC_COBRA_GT,Cobra GT,Кобра ГТ,S,2023,2025
ACURA,Acura,Акура,0,Япония,1986,2025,ACURA_ADX,ADX,АДИкс,S,2024,2025
ACURA,Acura,Акура,0,Япония,1986,2025,ACURA_CDX,CDX,сдх,S,2016,2021
ACURA,Acura,Акура,0,Япония,1986,2025,ACURA_CL,CL,сл,S,1996,2003
ACURA,Acura,Акура,0,Япония,1986,2025,ACURA_CSX,CSX,цсх,S,2005,2011
ACURA,Acura,Акура,0,Япония,1986,2025,ACURA_EL,EL,ЕЛ,S,1997,2005
ACURA,Acura,Акура,0,Япония,1986,2025,ACURA_ILX,ILX,ИЛХ,S,2012,2022
ACURA,Acura,Акура,0,Япония,1986,2025,ACURA_INTEGRA,Integra,интегра,S,1986,2025
ACURA,Acura,Акура,0,Япония,1986,2025,ACURA_LEGEND,Legend,легенд,S,1986,1996
ACURA,Acura,Акура,0,Япония,1986,2025,ACURA_MDX,MDX,мдх,S,2000,2025
ACURA,Acura,Акура,0,Япония,1986,2025,ACURA_NSX,NSX,нсх,S,1990,2022
ACURA,Acura,Акура,0,Япония,1986,2025,ACURA_RDX,RDX,РДХ,S,2006,2025
ACURA,Acura,Акура,0,Япония,1986,2025,ACURA_RL,RL,рл,S,1995,2012
ACURA,Acura,Акура,0,Япония,1986,2025,ACURA_RLX,RLX,рлх,S,2013,2020
ACURA,Acura,Акура,0,Япония,1986,2025,ACURA_RSX,RSX,рсх,S,2001,2006
ACURA,Acura,Акура,0,Япония,1986,2025,ACURA_SLX,SLX,слх,S,1995,1999
ACURA,Acura,Акура,0,Япония,1986,2025,ACURA_TL,TL,тл,S,1995,2014
ACURA,Acura,Акура,0,Япония,1986,2025,ACURA_TLX,TLX,тлх,S,2014,2025
ACURA,Acura,Акура,0,Япония,1986,2025,ACURA_TSX,TSX,тсх,S,2003,2014
ACURA,Acura,Акура,0,Япония,1986,2025,ACURA_ZDX,ZDX,здх,S,2009,2013
ADAM,Adam,Адам,0,Пакистан,2005,2006,ADAM_REVO,Revo,Рево,A,2005,2006
ADLER,Adler,Адлер,0,Германия,1934,1941,ADLER_DIPLOMAT,Diplomat,Дипломат,,1934,1940
ADLER,Adler,Адлер,0,Германия,1934,1941,ADLER_TRUMPF_JUNIOR,Trumpf Junior,Трумф Джуниор,,1934,1941
AION,GAC Aion,ГАК Аион,0,Китай,2019,2025,AION_HYPER_GT,Hyptec GT (Hyper GT),Гипер Джи Ти,C,2023,2025
AION,GAC Aion,ГАК Аион,0,Китай,2019,2025,AION_HYPER_HT,Hyptec HT (Hyper HT),Гипер Аш Ти,C,2023,2025
AION,GAC Aion,ГАК Аион,0,Китай,2019,2025,AION_HYPER_SSR,Hyptec SSR (Hyper SSR),Гипер Эс Эс Эр,C,2023,2025
AION,GAC Aion,ГАК Аион,0,Китай,2019,2025,AION_HYPTEC_HL,Hyptec HL,Хиптек Аш Эл,C,2025,2025
AION,GAC Aion,ГАК Аион,0,Китай,2019,2025,AION_LX,LX,ЛХ,C,2019,2022
AION,GAC Aion,ГАК Аион,0,Китай,2019,2025,AION_LX_PLUS,LX Plus,ЛХ Плюс,C,2022,2025
AION,GAC Aion,ГАК Аион,0,Китай,2019,2025,AION_RT,RT,РТ,C,2024,2025
AION,GAC Aion,ГАК Аион,0,Китай,2019,2025,AION_S,S,С,C,2019,2025
AION,GAC Aion,ГАК Аион,0,Китай,2019,2025,AION_S_PLUS,S Plus,С Плюс,C,2021,2023
AION,GAC Aion,ГАК Аион,0,Китай,2019,2025,AION_UT,UT,ЮТ,C,2025,2025
AION,GAC Aion,ГАК Аион,0,Китай,2019,2025,AION_V,V,Ви,C,2020,2025
AION,GAC Aion,ГАК Аион,0,Китай,2019,2025,AION_Y,Y,игрек,C,2021,2022
AION,GAC Aion,ГАК Аион,0,Китай,2019,2025,AION_Y_PLUS,Y Plus,У Плюс,C,2022,2025
AITO,Aito,Аито,0,Китай,2022,2025,AITO_M5,M5,м5,D,2022,2025
AITO,Aito,Аито,0,Китай,2022,2025,AITO_M7,M7,м7,D,2022,2025
AITO,Aito,Аито,0,Китай,2022,2025,AITO_M8,M8,М8,D,2025,2025
AITO,Aito,Аито,0,Китай,2022,2025,AITO_M9,M9,м9,D,2023,2025
AIWAYS,Aiways,Айвэйс,0,Китай,2019,2025,AIWAYS_U5,U5,Ю5,D,2019,2025
AIWAYS,Aiways,Айвэйс,0,Китай,2019,2025,AIWAYS_U6,U6,Ю6,D,2021,2025
AIXAM,Aixam,Аиксам,0,Франция,2000,2004,AIXAM_500,500,500,A,2000,2004
ALFA_ROMEO,Alfa Romeo,Альфа Ромео,0,Италия,1927,2025,ALFA_ROMEO_105_115,105/115,105/115,D,1965,1977
ALFA_ROMEO,Alfa Romeo,Альфа Ромео,0,Италия,1927,2025,ALFA_ROMEO_145,145,145,D,1994,2001
ALFA_ROMEO,Alfa Romeo,Альфа Ромео,0,Италия,1927,2025,ALFA_ROMEO_146,146,146,D,1995,2001
ALFA_ROMEO,Alfa Romeo,Альфа Ромео,0,Италия,1927,2025,ALFA_ROMEO_147,147,147,D,2000,2010
ALFA_ROMEO,Alfa Romeo,Альфа Ромео,0,Италия,1927,2025,ALFA_ROMEO_155,155,155,D,1992,1997
ALFA_ROMEO,Alfa Romeo,Альфа Ромео,0,Италия,1927,2025,ALFA_ROMEO_156,156,156,D,1997,2007
ALFA_ROMEO,Alfa Romeo,Альфа Ромео,0,Италия,1927,2025,ALFA_ROMEO_159,159,159,D,2005,2011
ALFA_ROMEO,Alfa Romeo,Альфа Ромео,0,Италия,1927,2025,ALFA_ROMEO_164,164,164,D,1987,1998
ALFA_ROMEO,Alfa Romeo,Альфа Ромео,0,Италия,1927,2025,ALFA_ROMEO_166,166,166,D,1998,2007
ALFA_ROMEO,Alfa Romeo,Альфа Ромео,0,Италия,1927,2025,ALFA_ROMEO_1900,1900,1900,D,1950,1959
ALFA_ROMEO,Alfa Romeo,Альфа Ромео,0,Италия,1927,2025,ALFA_ROMEO_2600,2600,2600,D,1962,1968
ALFA_ROMEO,Alfa Romeo,Альфа Ромео,0,Италия,1927,2025,ALFA_ROMEO_33,33,33,D,1983,1994
ALFA_ROMEO,Alfa Romeo,Альфа Ромео,0,Италия,1927,2025,ALFA_ROMEO_33_STRADALE,33 Stradale,33 Страдале,D,2023,2025
ALFA_ROMEO,Alfa Romeo,Альфа Ромео,0,Италия,1927,2025,ALFA_ROMEO_4C,4C,4с,D,2013,2016
ALFA_ROMEO,Alfa Romeo,Альфа Ромео,0,Италия,1927,2025,ALFA_ROMEO_6,6,6,D,1979,1988
ALFA_ROMEO,Alfa Romeo,Альфа Ромео,0,Италия,1927,2025,ALFA_ROMEO_6C,6C,6с,D,1927,1933
ALFA_ROMEO,Alfa Romeo,Альфа Ромео,0,Италия,1927,2025,ALFA_ROMEO_75,75,75,D,1985,1992
ALFA_ROMEO,Alfa Romeo,Альфа Ромео,0,Италия,1927,2025,ALFA_ROMEO_8C_COMPETIZIONE,8C Competizione,8с компетизион,D,2007,2010
ALFA_ROMEO,Alfa Romeo,Альфа Ромео,0,Италия,1927,2025,ALFA_ROMEO_90,90,90,D,1984,1987
ALFA_ROMEO,Alfa Romeo,Альфа Ромео,0,Италия,1927,2025,ALFA_ROMEO_ALFASUD,Alfasud,Альфасуд,D,1971,1983
ALFA_ROMEO,Alfa Romeo,Альфа Ромео,0,Италия,1927,2025,ALFA_ROMEO_ALFETTA,Alfetta,Альфетта,D,1972,1987
ALFA_ROMEO,Alfa Romeo,Альфа Ромео,0,Италия,1927,2025,ALFA_ROMEO_ARNA,Arna,Арна,D,1983,1987
ALFA_ROMEO,Alfa Romeo,Альфа Ромео,0,Италия,1927,2025,ALFA_ROMEO_BRERA,Brera,Брера,D,2005,2010
ALFA_ROMEO,Alfa Romeo,Альфа Ромео,0,Италия,1927,2025,ALFA_ROMEO_DISCO_VOLANTE,Disco Volante,диско воланте,D,2013,2013
ALFA_ROMEO,Alfa Romeo,Альфа Ромео,0,Италия,1927,2025,ALFA_ROMEO_GIULIA,Giulia,Джулия,D,1962,2025
ALFA_ROMEO,Alfa Romeo,Альфа Ромео,0,Италия,1927,2025,ALFA_ROMEO_GIULIETTA,Giulietta,Джульетта,D,1954,2020
ALFA_ROMEO,Alfa Romeo,Альфа Ромео,0,Италия,1927,2025,ALFA_ROMEO_GT,GT,GT,D,2003,2010
ALFA_ROMEO,Alfa Romeo,Альфа Ромео,0,Италия,1927,2025,ALFA_ROMEO_GTA,GTA Coupe,гта купе,D,1965,1975
ALFA_ROMEO,Alfa Romeo,Альфа Ромео,0,Италия,1927,2025,ALFA_ROMEO_GTV,GTV,GTV,D,1995,2006
ALFA_ROMEO,Alfa Romeo,Альфа Ромео,0,Италия,1927,2025,ALFA_ROMEO_JUNIOR,Junior,Джуниор,D,2024,2025
